,S:Max Principal P,S:Mid Principal P,S:Min Principal P,Unnamed: 4,Unnamed: 8,Unnamed: 9
226,1.7062E+03,301.697,-29.5591,1.83529,413.155E-03,651.207E-03
227,1.70976E+03,298.561,-23.3271,1.84586,414.404E-03,662.055E-03
228,1.71236E+03,296.973,-19.4215,1.8564,415.275E-03,669.131E-03
229,1.71517E+03,282.711,-8.33658,1.86605,415.01E-03,696.297E-03
230,1.7189E+03,289.563,-8.05528,1.87551,416.998E-03,689.805E-03
231,1.7221E+03,289.05,-3.72732,1.88452,418.302E-03,695.371E-03
232,1.72852E+03,292.625,2.84787,1.8935,421.513E-03,698.713E-03
233,1.73807E+03,298.531,12.9305,1.90338,426.571E-03,702.787E-03
234,1.74257E+03,299.352,18.0092,1.91311,428.477E-03,707.821E-03
235,1.74895E+03,301.722,25.1495,1.92326,431.518E-03,712.817E-03
236,1.75313E+03,302.845,29.5224,1.93527,433.26E-03,717.113E-03
237,1.75893E+03,308.17,34.1682,1.94384,436.293E-03,716.333E-03
238,1.76752E+03,314.098,42.4745,1.95052,440.715E-03,719.38E-03
239,1.77319E+03,321.024,46.2685,1.95719,443.921E-03,716.062E-03
240,1.78041E+03,319.443,57.1783,1.96366,447.085E-03,729.128E-03
241,1.78891E+03,329.184,63.6979,1.96977,452.003E-03,725.855E-03
242,1.7991E+03,343.732,69.8731,1.97551,458.156E-03,717.23E-03
243,1.80541E+03,351.789,73.7222,1.98102,461.671E-03,712.823E-03
244,1.80058E+03,354.35,63.9808,1.98669,459.071E-03,700.504E-03
245,1.80323E+03,355.146,66.7654,1.9922,460.194E-03,702.938E-03
246,1.80934E+03,361.278,71.2839,1.99737,463.375E-03,701.625E-03
247,1.81603E+03,368.323,76.3399,2.00242,466.998E-03,699.811E-03
248,1.821E+03,375.368,78.7714,2.00722,469.732E-03,695.44E-03
249,1.82879E+03,381.417,86.5143,2.01171,473.997E-03,697.332E-03
250,1.83609E+03,388.171,93.2637,2.01614,478.13E-03,697.722E-03
251,1.8425E+03,393.706,99.2418,2.02062,481.653E-03,698.368E-03
252,1.85036E+03,397.921,108.469,2.02479,485.913E-03,704.084E-03
253,1.86498E+03,406.861,125.342,2.02881,494.052E-03,711.473E-03
254,1.8701E+03,411.39,129.83,2.0327,496.779E-03,711.794E-03
255,1.87574E+03,417.003,134.54,2.03653,499.885E-03,710.948E-03
256,1.88068E+03,421.359,138.796,2.04018,502.478E-03,711.027E-03
257,1.88411E+03,423.134,142.71,2.04388,438.5E-03,431.966E-03
258,1.88849E+03,426.17,146.298,2.04744,506.218E-03,714.51E-03
259,1.89201E+03,430.417,148.294,2.0505,770.09E-03,202.988E-03
260,1.89496E+03,433.887,149.867,2.05387,509.444E-03,710.517E-03
261,1.89989E+03,437.087,154.343,2.05729,511.747E-03,712.241E-03
262,1.90223E+03,441.058,155.938,2.06045,457.728E-03,420.479E-03
263,1.90708E+03,444.472,159.059,2.06342,515.24E-03,710.027E-03
264,1.9103E+03,448.557,160.847,2.06599,516.921E-03,707.745E-03
265,1.91236E+03,448.717,162.955,2.06854,517.599E-03,710.076E-03
266,1.91389E+03,451.914,162.476,2.07095,587.269E-03,486.825E-03
267,1.91591E+03,452.659,163.455,2.07321,518.674E-03,706.684E-03
268,1.91905E+03,454.348,166.062,2.07538,519.922E-03,707.903E-03
269,1.9212E+03,454.393,168.782,2.07721,520.8E-03,710.747E-03
270,1.92502E+03,455.43,173.797,2.07924,599.941E-03,498.958E-03
271,1.92474E+03,453.619,178.862,2.08114,567.416E-03,758.8E-03
272,1.93215E+03,456.706,183.258,2.08325,526.167E-03,723.627E-03
273,1.93639E+03,461.337,186.836,2.08427,528.627E-03,722.68E-03
274,1.93991E+03,463.746,190.659,2.08532,530.549E-03,724.259E-03
275,1.94893E+03,474.947,197.804,2.0874,536.026E-03,720.575E-03
276,1.95338E+03,477.219,201.946,2.09059,537.92E-03,723.058E-03
277,2.1842E+03,902.541,284.912,2.21693,640.163E-03,
