,Unnamed: 1,S:Max Principal P,S:Mid Principal P,S:Min Principal P,Unnamed: 9,Unnamed: 10
138,320.826E-03,1.6894E+03,538.012,66.1758,528.634E-03,452.935E-03
139,326.68E-03,1.69728E+03,547.166,69.1527,532.048E-03,446.846E-03
140,332.661E-03,1.70525E+03,556.593,72.2034,535.551E-03,440.542E-03
141,338.776E-03,1.71337E+03,566.143,75.4527,539.152E-03,434.34E-03
142,345.076E-03,1.72164E+03,576.023,78.8584,542.895E-03,427.939E-03
143,351.857E-03,1.73049E+03,586.755,82.5786,546.96E-03,420.993E-03
144,358.912E-03,1.73961E+03,597.844,86.5342,551.195E-03,413.929E-03
145,366.14E-03,1.74886E+03,609.308,90.6628,555.587E-03,406.629E-03
146,373.547E-03,1.75822E+03,620.938,94.9337,560.06E-03,399.318E-03
147,381.134E-03,1.76773E+03,632.844,99.3932,564.663E-03,391.915E-03
148,388.911E-03,1.77743E+03,645.137,104.07,569.441E-03,384.316E-03
149,396.826E-03,1.78718E+03,657.516,108.912,574.293E-03,376.804E-03
150,404.925E-03,1.79704E+03,670.106,113.916,579.246E-03,369.24E-03
151,413.227E-03,1.80704E+03,683.007,119.085,584.326E-03,361.514E-03
152,421.756E-03,1.81721E+03,696.166,124.46,589.537E-03,353.738E-03
153,430.549E-03,1.82758E+03,709.614,130.079,594.897E-03,345.921E-03
154,439.624E-03,1.83816E+03,723.43,135.924,600.423E-03,337.949E-03
155,448.961E-03,1.84892E+03,737.602,141.984,606.104E-03,329.818E-03
156,458.523E-03,1.85979E+03,751.898,148.237,611.874E-03,321.769E-03
157,468.308E-03,1.87077E+03,766.411,154.656,617.744E-03,313.661E-03
158,478.368E-03,1.88192E+03,781.189,161.307,623.753E-03,305.521E-03
159,488.664E-03,1.89318E+03,796.158,168.131,629.858E-03,297.359E-03
160,499.257E-03,1.90462E+03,811.36,175.177,636.086E-03,289.19E-03
161,510.167E-03,1.9162E+03,826.7,182.444,642.414E-03,281.125E-03
162,521.403E-03,1.92801E+03,842.392,189.978,648.914E-03,272.964E-03
163,532.972E-03,1.93995E+03,858.289,197.685,655.509E-03,264.771E-03
164,544.893E-03,1.95211E+03,874.511,205.663,662.267E-03,256.521E-03
165,557.187E-03,1.96452E+03,890.977,213.929,669.174E-03,248.333E-03
