Disp,Force
0.0509322,4.22914502
0.0512509,4.251014648
0.0516498,4.273115234
0.0520306,4.295130371
0.0520315,4.317428223
0.0522277,4.339634766
0.0527606,4.362236816
0.0530476,4.384506836
0.0532998,4.407363281
0.0535123,4.430233398
0.0539314,4.453501953
0.0547394,4.476202637
0.0545907,4.49894043
0.0549637,4.521580078
0.0552347,4.544209473
0.0556248,4.566591797
0.0564957,4.589246582
0.0564107,4.61162793
0.0567739,4.634239746
0.0574668,4.65687793
0.0575146,4.679228027
0.0579704,4.701942383
0.0581262,4.724625488
0.0584658,4.747108887
0.0590181,4.769981445
0.0593745,4.792178711
0.0596531,4.814375488
0.0599817,4.836785645
0.0603608,4.859191895
0.0607096,4.881662109
0.0612247,4.904321289
0.0615274,4.926798828
0.0617262,4.948981934
0.0620255,4.971882813
0.0624459,4.994374512
0.0626496,5.016905273
0.0632209,5.040225098
0.0636308,5.063067383
0.0640693,5.085379883
0.064553,5.108144043
0.064662,5.130331055
0.0652458,5.153335449
0.0656711,5.175683105
0.06623,5.198435059
0.0664631,5.220837891
0.0669608,5.243320313
0.0673568,5.26589209
0.0676582,5.288382324
0.0682333,5.311071289
0.0683514,5.333471191
0.0688968,5.356014648
0.0691809,5.378375
0.0698174,5.400858887
0.0702159,5.42336377
0.0704814,5.445434082
0.070947,5.467749512
0.0713336,5.490324219
0.0718362,5.51276709
0.0723326,5.534989746
0.0729621,5.557091797
0.073321,5.57939209
0.0739034,5.602137207
0.0741714,5.624582031
0.0746267,5.64692041
0.0749766,5.669820313
0.0755959,5.692562012
0.0759868,5.715338867
0.0764537,5.73835791
0.0771065,5.760973633
0.0773132,5.783240723
0.077727,5.805995605
0.0783172,5.828405273
0.078767,5.850713379
0.0792735,5.873497559
0.0797849,5.896078125
0.0802153,5.91857959
0.0807962,5.941435547
0.0813456,5.964074219
0.0818941,5.985909668
0.0823593,6.008986816
0.082891,6.03133252
0.083364,6.053222168
0.0839068,6.075021973
0.0844252,6.097506348
0.0849972,6.119646973
0.0855174,6.141853027
0.0860986,6.164313965
0.086583,6.186787598
0.0870983,6.209211914
0.0878151,6.231887695
0.0883219,6.254780762
0.0888567,6.277185547
0.0896746,6.300580078
0.0903329,6.323026367
0.0907353,6.345515137
0.0913462,6.367910645
0.0920524,6.389944336
0.0926825,6.41220752
0.0935112,6.434220215
0.0942013,6.456627441
0.0947312,6.47840332
